case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
INS-01,True,96.2,0.8,0.9441,1.0,True,배포 가능,,15.0,12.0,14.2,10.0,10.0,15.0,10.0,5.0,5.0,86.8,
INS-02,True,97.0,0.9,1.0,1.0,True,배포 가능,,13.5,13.5,15.0,10.0,10.0,15.0,10.0,5.0,5.0,99.03,
INS-03,True,90.3,0.4,0.951,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,15.0,6.0,14.3,10.0,10.0,15.0,10.0,5.0,5.0,70.93,
INS-04,True,99.1,1.0,0.9407,1.0,True,배포 가능,,15.0,15.0,14.1,10.0,10.0,15.0,10.0,5.0,5.0,69.74,
INS-05,True,99.1,1.0,0.943,1.0,True,배포 가능,,15.0,15.0,14.1,10.0,10.0,15.0,10.0,5.0,5.0,40.54,
INS-06,True,99.0,1.0,0.9364,1.0,True,배포 가능,,15.0,15.0,14.0,10.0,10.0,15.0,10.0,5.0,5.0,47.8,
INS-07,True,99.1,1.0,0.942,1.0,True,배포 가능,,15.0,15.0,14.1,10.0,10.0,15.0,10.0,5.0,5.0,46.7,
INS-08,True,87.1,0.2,0.9406,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,15.0,3.0,14.1,10.0,10.0,15.0,10.0,5.0,5.0,47.34,
INS-09,True,88.8,0.3,0.9509,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,15.0,4.5,14.3,10.0,10.0,15.0,10.0,5.0,5.0,47.06,
INS-10,True,97.5,1.0,1.0,1.0,True,배포 가능,,12.5,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
INS-11,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,12.11,NO_MATCHING_VOC
INS-12,True,98.8,1.0,0.9176,1.0,True,배포 가능,,15.0,15.0,13.8,10.0,10.0,15.0,10.0,5.0,5.0,40.48,
INS-13,True,88.7,0.3,0.9467,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,15.0,4.5,14.2,10.0,10.0,15.0,10.0,5.0,5.0,43.27,
INS-14,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,11.35,NO_MATCHING_VOC
INS-15,True,90.3,0.4,0.9554,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,15.0,6.0,14.3,10.0,10.0,15.0,10.0,5.0,5.0,34.86,
