case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
TC-01,True,90.2,0.8,0.75,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.0,12.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,52.44,
TC-02,True,88.5,0.4,1.0,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.5,6.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,41.38,
TC-03,True,96.2,1.0,0.75,1.0,True,배포 가능,,15.0,15.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,44.0,
TC-04,True,91.8,0.8333,0.75,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,13.1,12.5,11.2,10.0,10.0,15.0,10.0,5.0,5.0,28.53,
TC-05,True,89.7,0.6667,0.75,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,13.5,10.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,34.51,
TC-06,True,98.3,1.0,0.8851,1.0,True,배포 가능,,15.0,15.0,13.3,10.0,10.0,15.0,10.0,5.0,5.0,35.49,
TC-07,True,93.1,0.6667,1.0,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,13.1,10.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,36.03,
TC-08,True,98.1,1.0,0.875,1.0,True,배포 가능,,15.0,15.0,13.1,10.0,10.0,15.0,10.0,5.0,5.0,38.65,
TC-09,True,95.0,1.0,1.0,1.0,True,배포 가능,,10.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
TC-10,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.03,
TC-11,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
TC-12,True,94.4,1.0,0.7917,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.5,15.0,11.9,10.0,10.0,15.0,10.0,5.0,5.0,37.29,
TC-13,True,84.8,0.3333,0.7917,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.9,5.0,11.9,10.0,10.0,15.0,10.0,5.0,5.0,30.29,
TC-14,True,93.0,0.8,0.7357,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,15.0,12.0,11.0,10.0,10.0,15.0,10.0,5.0,5.0,44.19,
TC-15,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,13.66,NO_MATCHING_VOC
TC-16,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,13.13,NO_MATCHING_VOC
TC-17,True,96.9,0.9,0.8947,1.0,True,배포 가능,,15.0,13.5,13.4,10.0,10.0,15.0,10.0,5.0,5.0,36.04,
TC-18,True,98.2,1.0,0.8767,1.0,True,배포 가능,,15.0,15.0,13.2,10.0,10.0,15.0,10.0,5.0,5.0,35.29,
